あなたが出品者・ショップをフォローする理由や、フォローした出品者・ショップを確認する目的について、できるだけ詳しくお書きください。（任意回答）,あなたは、ビデオ通話に参加するために必要なWebカメラやマイクをお持ちですか。※ パソコンに内蔵されているものも含みます,Buyer segment,あなたの職業として当てはまるものを一つだけお選びください。※職業が複数ある方は、主な収入源となっている職業をお選びください,お客さまインタビューへの参加が可能な日時をできるだけ選択してください。※インタビューへのご参加をお願いする場合、こちらの回答を参考にスケジュールを調整させていただきます,Follow segment,メルカリで検索条件を保存する機能やフォロー機能について、あなたのお買い物における重要度として最も当てはまるものをそれぞれお選びください。,YouTubeの登録チャンネルタブ（自分がフォローしているチャンネルの新着一覧などが表示されている画面）を見る頻度として最も当てはまるものを一つお選びください。,あなたが「いいね！」タブ（※）を見る頻度として、最も当てはまるものを一つお選びください。※「いいね！」タブとは、メルカリアプリ左下の「いいね！」ボタンをタップした時に出てくる画面（画像参照）のことを指します。,メルカリで検索条件を保存する機能やフォロー機能について、あなたのお買い物における利用状況として最も当てはまるものをそれぞれお選びください。,今までに、フォローしている出品者からフォロー後に商品を購入したことは何回ありますか。最も当てはまるものを一つお選びください。,あなたの年代をお選びください。,あなたの性別をお選びください。,あなたがお住まいの都道府県をお選びください。,インタビューの中で、途中あなたのスマートフォンからメルカリアプリの画面と操作のご様子を画面共有いただきながらお話を伺うことは可能ですか。,フォロー機能を前問で回答した目的で利用する頻度として、当てはまるものをそれぞれ一つお選びください。,この度の調査では後日、「Google Meet」を利用し、ビデオ通話にてインタビューをさせていただく可能性があります。あなたは、ビデオ通話でのインタビューにご参加いただくことは可能ですか？,respondent_id,上記以外の日程のインタビュー実施時に、日程調整のご連絡をしてよろしいですか？
,持っている,3.Buyer Middle,会社員（正社員）,,1.Follow Super Heavy (80+),ある程度重要である,,その他,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,男性,その他,はい,,はい,119076005933.0,はい
,持っている,4.Buyer Light,会社員（正社員）,,1.Follow Super Heavy (80+),ある程度重要である,,その他,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,千葉県,はい,,はい,119076003817.0,はい
その他,持っていない,2.Buyer Heavy,パート・アルバイト,,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,愛知県,はい,ときどきある,はい,119075994141.0,はい
その他,持っている,2.Buyer Heavy,その他,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,神奈川県,はい,非常によくある,はい,119076001702.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,10:00-11:00,1.Follow Super Heavy (80+),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,はい,ときどきある,はい,119075996925.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,その他,いいえ,ときどきある,はい,119075995126.0,いいえ
その他,持っている,3.Buyer Middle,その他,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,女性,その他,はい,非常によくある,はい,119075991039.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,その他,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,男性,その他,はい,,はい,119075990368.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,その他,はい,非常によくある,はい,119075991190.0,はい
その他,持っていない,4.Buyer Light,自営業・フリーランス,,4.Follow Light (1-17),非常に重要である,,1週間に1回くらい見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,女性,その他,いいえ,たまにある,はい,119075631890.0,はい
,持っていない,1.Buyer Super heavy,パート・アルバイト,,1.Follow Super Heavy (80+),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,その他,はい,,はい,119075995701.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,神奈川県,はい,,はい,119075994561.0,はい
,持っている,3.Buyer Middle,会社員（正社員）,10:00-11:00,3.Follow Middle (18-34),どちらでもない,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,女性,その他,はい,,はい,119075995689.0,はい
その他,持っている,4.Buyer Light,その他,,1.Follow Super Heavy (80+),ある程度重要である,,1週間に1回くらい見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,男性,神奈川県,はい,たまにある,はい,119075992563.0,はい
その他,,3.Buyer Middle,パート・アルバイト,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,その他,,非常によくある,いいえ,119075993771.0,
,持っている,1.Buyer Super heavy,会社員（正社員）,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,その他,はい,,はい,119075907560.0,はい
その他,持っている,3.Buyer Middle,学生（大学生・大学院生・専門学生）,,1.Follow Super Heavy (80+),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,男性,東京都,はい,,はい,119075990555.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,神奈川県,はい,ときどきある,はい,119075981407.0,はい
,持っている,2.Buyer Heavy,その他,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,はい,ときどきある,はい,119075986599.0,はい
,持っている,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,1週間に1回くらい見る,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,男性,大阪府,はい,その他,はい,119075986582.0,はい
,持っている,4.Buyer Light,自営業・フリーランス,,1.Follow Super Heavy (80+),どちらでもない,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,千葉県,いいえ,たまにある,はい,119075774712.0,はい
,持っている,4.Buyer Light,会社員（正社員）,10:00-11:00,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から商品を購入したことはない,30代,男性,神奈川県,はい,ときどきある,はい,119075983205.0,はい
,持っていない,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),その他,,"2,3日に1回くらい見る",現在利用している,,60代,女性,東京都,はい,,はい,119075982241.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,女性,千葉県,はい,ときどきある,はい,119075976832.0,はい
,持っている,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,その他,はい,たまにある,はい,119075972786.0,はい
,持っている,4.Buyer Light,その他,,4.Follow Light (1-17),ある程度重要である,,1日に1回以上見る,現在利用している,,40代,女性,東京都,はい,,はい,119075966198.0,はい
その他,持っている,1.Buyer Super heavy,パート・アルバイト,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,その他,はい,非常によくある,はい,119075966958.0,はい
,持っている,1.Buyer Super heavy,パート・アルバイト,,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,,30代,男性,神奈川県,はい,,はい,119075975124.0,はい
,持っている,3.Buyer Middle,その他,,4.Follow Light (1-17),ある程度重要である,,1日に1回以上見る,現在利用している,,30代,男性,その他,はい,,はい,119075630871.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1週間に1回くらい見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,神奈川県,はい,非常によくある,はい,119075972072.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,過去に利用していたが現在は使っていない,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,男性,東京都,はい,ときどきある,はい,119075973714.0,はい
その他,持っている,4.Buyer Light,パート・アルバイト,,4.Follow Light (1-17),ある程度重要である,1週間に1回くらい見る,その他,過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,大阪府,はい,ときどきある,はい,119075970908.0,はい
その他,持っている,4.Buyer Light,パート・アルバイト,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,その他,はい,,はい,119075967022.0,はい
,持っていない,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),その他,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,男性,愛知県,はい,,はい,119075840811.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),ある程度重要である,,1週間に1回くらい見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,東京都,はい,たまにある,はい,119075958363.0,はい
その他,持っている,3.Buyer Middle,パート・アルバイト,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,その他,はい,,はい,119075960518.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,東京都,はい,たまにある,はい,119075556929.0,はい
その他,持っている,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,その他,はい,ときどきある,はい,119075953807.0,はい
その他,持っていない,1.Buyer Super heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,男性,愛知県,はい,,はい,119075959016.0,はい
,持っていない,3.Buyer Middle,専業主婦・主夫,,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,,30代,女性,愛知県,いいえ,,はい,119075955392.0,はい
その他,持っている,2.Buyer Heavy,専業主婦・主夫,,1.Follow Super Heavy (80+),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,はい,,はい,119075752059.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,はい,非常によくある,はい,119075917710.0,はい
その他,持っている,2.Buyer Heavy,パート・アルバイト,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,その他,はい,非常によくある,はい,119075932554.0,はい
,持っている,2.Buyer Heavy,学生（大学生・大学院生・専門学生）,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,,20代,男性,その他,はい,,はい,119075947356.0,はい
,持っている,4.Buyer Light,その他,,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,,40代,男性,その他,はい,,はい,119075939909.0,はい
,持っている,3.Buyer Middle,自営業・フリーランス,10:00-11:00,4.Follow Light (1-17),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,,60代,男性,千葉県,はい,,はい,119075936821.0,はい
,,3.Buyer Middle,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,男性,大阪府,,,いいえ,119075937398.0,
その他,持っている,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,30代,女性,千葉県,はい,たまにある,はい,119075931269.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,女性,東京都,はい,非常によくある,はい,119075883506.0,はい
その他,持っている,1.Buyer Super heavy,パート・アルバイト,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,その他,はい,,はい,119075928624.0,はい
その他,持っている,3.Buyer Middle,学生（大学生・大学院生・専門学生）,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,男性,千葉県,はい,ときどきある,はい,119075928591.0,はい
その他,持っていない,4.Buyer Light,パート・アルバイト,10:00-11:00,3.Follow Middle (18-34),その他,,その他,過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,千葉県,はい,,はい,119075924404.0,はい
その他,持っていない,1.Buyer Super heavy,その他,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,男性,その他,はい,非常によくある,はい,119075906420.0,はい
その他,持っている,2.Buyer Heavy,その他,,1.Follow Super Heavy (80+),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,はい,,はい,119075919127.0,はい
,持っていない,2.Buyer Heavy,会社員（正社員）,,3.Follow Middle (18-34),,,1日に1回以上見る,過去に利用していたが現在は使っていない,,40代,男性,その他,いいえ,,はい,119075919082.0,はい
その他,持っていない,2.Buyer Heavy,会社員（正社員）,,2.Follow Heavy (35-79),非常に重要である,1日に1回以上見る,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,いいえ,ときどきある,はい,119075915351.0,はい
その他,,3.Buyer Middle,パート・アルバイト,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,神奈川県,,,いいえ,119075910469.0,
,持っている,1.Buyer Super heavy,会社員（正社員）,,1.Follow Super Heavy (80+),その他,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,女性,千葉県,はい,,はい,119075909173.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,男性,東京都,はい,,はい,119075907056.0,はい
その他,持っていない,2.Buyer Heavy,その他,,3.Follow Middle (18-34),ある程度重要である,,その他,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,40代,女性,その他,はい,ときどきある,はい,119075487144.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,,2.Follow Heavy (35-79),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,はい,たまにある,はい,119075907428.0,はい
その他,持っている,4.Buyer Light,会社員（正社員）,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,男性,その他,はい,非常によくある,はい,119075690777.0,はい
,持っている,1.Buyer Super heavy,会社員（正社員）,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,女性,その他,はい,非常によくある,はい,119075900449.0,はい
その他,持っている,4.Buyer Light,その他,,2.Follow Heavy (35-79),その他,,1週間に1回くらい見る,過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,神奈川県,はい,,はい,119075894223.0,はい
,持っている,2.Buyer Heavy,会社員（正社員）,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から商品を購入したことはない,30代,女性,神奈川県,はい,,はい,119075896838.0,はい
,持っている,4.Buyer Light,会社員（正社員）,,4.Follow Light (1-17),非常に重要である,,その他,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,20代,男性,東京都,はい,,はい,119075897911.0,はい
,持っている,2.Buyer Heavy,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,,20代,女性,その他,はい,,はい,119075889626.0,はい
その他,持っていない,2.Buyer Heavy,パート・アルバイト,,1.Follow Super Heavy (80+),どちらでもない,,"2,3日に1回くらい見る",過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,その他,はい,非常によくある,はい,119075886132.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,男性,その他,はい,非常によくある,はい,119075882838.0,はい
その他,持っている,1.Buyer Super heavy,自営業・フリーランス,,3.Follow Middle (18-34),どちらでもない,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,神奈川県,はい,,はい,119075884519.0,はい
,持っている,4.Buyer Light,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),非常に重要である,,その他,現在利用している,,30代,男性,その他,はい,,はい,119075884515.0,はい
その他,持っている,3.Buyer Middle,その他,,2.Follow Heavy (35-79),非常に重要である,,その他,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,はい,ときどきある,はい,119075881341.0,はい
その他,持っている,4.Buyer Light,パート・アルバイト,,4.Follow Light (1-17),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,女性,その他,はい,たまにある,はい,119075878439.0,はい
その他,持っていない,1.Buyer Super heavy,その他,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,男性,その他,はい,,はい,119075875411.0,はい
その他,持っている,1.Buyer Super heavy,専業主婦・主夫,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,はい,非常によくある,はい,119075874307.0,はい
その他,持っていない,2.Buyer Heavy,自営業・フリーランス,,1.Follow Super Heavy (80+),非常に重要である,,1週間に1回くらい見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,女性,その他,はい,ときどきある,はい,119075695645.0,はい
その他,持っている,3.Buyer Middle,その他,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,大阪府,はい,ときどきある,はい,119075853292.0,はい
その他,持っている,2.Buyer Heavy,専業主婦・主夫,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,神奈川県,はい,ときどきある,はい,119075846257.0,はい
その他,持っていない,1.Buyer Super heavy,その他,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,50代,女性,神奈川県,はい,,はい,119075659889.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,50代,男性,東京都,はい,非常によくある,はい,119075849860.0,はい
,持っている,1.Buyer Super heavy,その他,10:00-11:00,1.Follow Super Heavy (80+),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,男性,神奈川県,はい,,はい,119075861923.0,はい
その他,持っている,4.Buyer Light,専業主婦・主夫,10:00-11:00,3.Follow Middle (18-34),非常に重要である,"2,3日に1回くらい見る",1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,はい,,はい,119075852146.0,はい
,持っている,3.Buyer Middle,学生（大学生・大学院生・専門学生）,,4.Follow Light (1-17),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,男性,その他,はい,,はい,119075860045.0,はい
その他,持っている,3.Buyer Middle,パート・アルバイト,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,50代,女性,東京都,はい,ときどきある,はい,119075845116.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,10:00-11:00,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,30代,男性,千葉県,はい,ときどきある,はい,119075853761.0,はい
その他,持っている,3.Buyer Middle,その他,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,神奈川県,はい,非常によくある,はい,119075844422.0,はい
その他,持っていない,3.Buyer Middle,パート・アルバイト,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,40代,女性,その他,はい,,はい,119075849051.0,はい
,持っている,1.Buyer Super heavy,学生（大学生・大学院生・専門学生）,,3.Follow Middle (18-34),,1日に1回以上見る,"2,3日に1回くらい見る",過去に利用していたが現在は使っていない,,20代,男性,その他,はい,,はい,119075848079.0,はい
,持っている,4.Buyer Light,専業主婦・主夫,10:00-11:00,3.Follow Middle (18-34),その他,,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,20代,女性,東京都,はい,,はい,119075845658.0,はい
その他,持っている,4.Buyer Light,自営業・フリーランス,,4.Follow Light (1-17),どちらでもない,,1日に1回以上見る,その他,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,20代,男性,東京都,はい,,はい,119075844576.0,はい
その他,持っている,1.Buyer Super heavy,会社員（正社員）,,3.Follow Middle (18-34),その他,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,はい,,はい,119075845591.0,はい
,持っていない,1.Buyer Super heavy,その他,,4.Follow Light (1-17),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,東京都,はい,,はい,119075841881.0,はい
,持っている,4.Buyer Light,会社員（正社員）,10:00-11:00,2.Follow Heavy (35-79),ある程度重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている出品者から商品を購入したことはない,30代,男性,東京都,はい,,はい,119075839847.0,はい
その他,持っている,4.Buyer Light,その他,,3.Follow Middle (18-34),ある程度重要である,1日に1回以上見る,その他,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,60代,男性,その他,はい,,はい,119075830215.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,4.Follow Light (1-17),ある程度重要である,1週間に1回くらい見る,1日に1回以上見る,現在利用している,フォローしている出品者から購入したのは、これまでに1回だけである,30代,女性,東京都,はい,その他,はい,119075832353.0,はい
その他,持っている,2.Buyer Heavy,会社員（正社員）,,4.Follow Light (1-17),ある程度重要である,,1日に1回以上見る,現在利用している,フォローしている出品者から購入経験が複数回あるが、同じ人から2回以上購入したことはない,50代,女性,その他,はい,,はい,119075838261.0,はい
その他,持っている,3.Buyer Middle,学生（大学生・大学院生・専門学生）,,4.Follow Light (1-17),どちらでもない,,1週間に1回くらい見る,過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,女性,東京都,はい,ときどきある,はい,119075834038.0,はい
その他,持っている,4.Buyer Light,学生（大学生・大学院生・専門学生）,,3.Follow Middle (18-34),非常に重要である,1日に1回以上見る,1日に1回以上見る,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,男性,その他,はい,たまにある,はい,119075833398.0,はい
その他,持っている,4.Buyer Light,その他,,2.Follow Heavy (35-79),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,30代,男性,神奈川県,はい,非常によくある,はい,119075833378.0,はい
,持っている,3.Buyer Middle,会社員（正社員）,,3.Follow Middle (18-34),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,20代,男性,東京都,はい,,はい,119075820267.0,はい
その他,持っていない,3.Buyer Middle,会社員（正社員）,,3.Follow Middle (18-34),ある程度重要である,,1日に1回以上見る,過去に利用していたが現在は使っていない,フォローしている出品者から商品を購入したことはない,40代,女性,大阪府,いいえ,たまにある,はい,119075814620.0,はい
,持っている,3.Buyer Middle,専業主婦・主夫,10:00-11:00,4.Follow Light (1-17),ある程度重要である,,その他,現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,20代,女性,その他,はい,,はい,119075819169.0,はい
その他,持っている,1.Buyer Super heavy,パート・アルバイト,10:00-11:00,3.Follow Middle (18-34),ある程度重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,女性,大阪府,はい,非常によくある,はい,119075823667.0,はい
その他,持っている,2.Buyer Heavy,学生（大学生・大学院生・専門学生）,,1.Follow Super Heavy (80+),非常に重要である,,"2,3日に1回くらい見る",現在利用している,フォローしている同じ出品者から合計5回以上購入している,40代,女性,東京都,はい,ときどきある,はい,119075817866.0,はい
その他,持っている,2.Buyer Heavy,自営業・フリーランス,,2.Follow Heavy (35-79),どちらでもない,,1日に1回以上見る,過去に利用していたが現在は使っていない,フォローしている同じ出品者から、これまでに合計2〜4回購入している,40代,男性,その他,はい,,はい,119075813441.0,はい
その他,持っていない,1.Buyer Super heavy,その他,,2.Follow Heavy (35-79),非常に重要である,,1日に1回以上見る,現在利用している,フォローしている同じ出品者から合計5回以上購入している,その他,男性,その他,はい,非常によくある,はい,119075780041.0,はい
,持っている,4.Buyer Light,自営業・フリーランス,,4.Follow Light (1-17),どちらでもない,,"2,3日に1回くらい見る",現在利用している,,50代,女性,その他,はい,,はい,119075787922.0,はい
